項目及紀錄,分數,學習簡述
鋼琴,93,與范德騰教授上每兩週一次的課程
程式設計,80,"主要透過YouTube 影片學習，觀看各式不一樣的題材，主題例如：API, version control system, tailwind, figma, npm 以及生成藝術相關的主題，然後用 notion 做筆記，把每部影片的重點都記錄下來。"
物理,89,觀看 Crash course 頻道，物理系列裡的電與磁的主題影片，理解並做筆記
英文,80,"為了讓英文融入生活中，我會透過主題式學習的方式，在學習其它主題時，刻意用英文的資源來學。學習內容：文法-閱讀文法書，聽力-podcast, YouTube video，閱讀-網路文章，寫作-用英文紀筆記，口說-跟著影片練習口說。"
社會與經濟,80,因為寫作課的寫作主題緣故，我開始搜集了一些關於資本主義相關的資料，會在網路上看社會學或經濟學的資料，遇到不會的就繼續透過關鍵字查詢，慢慢看懂社會學與經濟學的一些基本觀念。
區塊鏈研究,89,透過閱讀文章或影片了解去中心化出版與去中心化金融等區塊鏈技術的相關應用
鋼琴,90,每兩週一次的一對一鋼琴課，師事范德騰教授。在這學期裡，準備三場小型演出，兩首演出曲子。
寫作,90,透過文字紀錄整理腦中想法、個人狀態、事件發生等紀錄，從中練習寫作的速度以及文字的順暢度。
科技與社會,90,"1. 參加活動、接觸在 Web3 領域工作的人，過程中接觸了更多關於用區塊鏈解決社會問題的工具，認識到除了去中心化金融（幣圈）以外的塊鏈應用。
2. FTX 事件發生後持續關注幣圈內發生的事件。"
哲學,90,透過寫作、與他人對話、思考、吸收哲學相關資訊，持續累積自己對哲學的想法，關注於觀察人與社會之間的關係。
英文,90,在British Council上課，跟外師練習對話
小提琴,100,上小提琴課及定時練習，準備檢定考
游泳,100,每週游泳三次，並做拉筋伸展
拉丁舞,92,每週到舞蹈教室學習拉丁舞
街舞,92,每週到舞蹈教室學習街舞
科技,100,對電腦系統操作都熟悉，嘗試經營社群媒體
國語文,85,閱讀國中基礎文學及課外讀物
自然科學,85,觀看米蘭老師的影片
社會,88,觀看新聞
數學,80,需加強邏輯
鋼琴,85,現在再彈莫札特、貝多芬還有其他曲子準備之後的比賽還有開始選考試的曲子
小提琴,80,現在學音節然後賽夫西克op1跟op8還有費華都是練習曲練手指然後曲子有賽滋
樂理,85,樂理就是老師出的題目然後節奏聽力視唱
英文,85,往雅思的方面學然後有開始背單字
